
---------- Begin Simulation Statistics ----------
simSeconds                                   0.010065                       # Number of seconds simulated (Second)
simTicks                                  10064728500                       # Number of ticks simulated (Tick)
finalTick                                 10064728500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    122.81                       # Real time elapsed on the host (Second)
hostTickRate                                 81954442                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     705564                       # Number of bytes of host memory used (Byte)
simInsts                                     25475897                       # Number of instructions simulated (Count)
simOps                                       38943855                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   207443                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     317109                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         20129458                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.790137                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.265603                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        62976493                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      106                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       55911069                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  18689                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             24032722                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          38112933                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  64                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            19942796                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.803572                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.433283                       # Number of insts issued each cycle (Count)
system.l2cache.demandMisses::cpu.inst            2206                       # number of demand (read+write) misses (Count)
system.l2cache.demandMisses::cpu.data            3243                       # number of demand (read+write) misses (Count)
system.l2cache.demandMisses::total               5449                       # number of demand (read+write) misses (Count)
system.l2cache.overallMisses::cpu.inst           2206                       # number of overall misses (Count)
system.l2cache.overallMisses::cpu.data           3243                       # number of overall misses (Count)
system.l2cache.overallMisses::total              5449                       # number of overall misses (Count)
system.l2cache.demandMissLatency::cpu.inst    163603000                       # number of demand (read+write) miss ticks (Tick)
system.l2cache.demandMissLatency::cpu.data    217066500                       # number of demand (read+write) miss ticks (Tick)
system.l2cache.demandMissLatency::total     380669500                       # number of demand (read+write) miss ticks (Tick)
system.l2cache.overallMissLatency::cpu.inst    163603000                       # number of overall miss ticks (Tick)
system.l2cache.overallMissLatency::cpu.data    217066500                       # number of overall miss ticks (Tick)
system.l2cache.overallMissLatency::total    380669500                       # number of overall miss ticks (Tick)
system.l2cache.demandAccesses::cpu.inst          4340                       # number of demand (read+write) accesses (Count)
system.l2cache.demandAccesses::cpu.data         33675                       # number of demand (read+write) accesses (Count)
system.l2cache.demandAccesses::total            38015                       # number of demand (read+write) accesses (Count)
system.l2cache.overallAccesses::cpu.inst         4340                       # number of overall (read+write) accesses (Count)
system.l2cache.overallAccesses::cpu.data        33675                       # number of overall (read+write) accesses (Count)
system.l2cache.overallAccesses::total           38015                       # number of overall (read+write) accesses (Count)
system.l2cache.demandMissRate::cpu.inst      0.508295                       # miss rate for demand accesses (Ratio)
system.l2cache.demandMissRate::cpu.data      0.096303                       # miss rate for demand accesses (Ratio)
system.l2cache.demandMissRate::total         0.143338                       # miss rate for demand accesses (Ratio)
system.l2cache.overallMissRate::cpu.inst     0.508295                       # miss rate for overall accesses (Ratio)
system.l2cache.overallMissRate::cpu.data     0.096303                       # miss rate for overall accesses (Ratio)
system.l2cache.overallMissRate::total        0.143338                       # miss rate for overall accesses (Ratio)
system.l2cache.demandAvgMissLatency::cpu.inst 74162.737987                       # average overall miss latency in ticks ((Tick/Count))
system.l2cache.demandAvgMissLatency::cpu.data 66933.857539                       # average overall miss latency in ticks ((Tick/Count))
system.l2cache.demandAvgMissLatency::total 69860.433107                       # average overall miss latency in ticks ((Tick/Count))
system.l2cache.overallAvgMissLatency::cpu.inst 74162.737987                       # average overall miss latency ((Tick/Count))
system.l2cache.overallAvgMissLatency::cpu.data 66933.857539                       # average overall miss latency ((Tick/Count))
system.l2cache.overallAvgMissLatency::total 69860.433107                       # average overall miss latency ((Tick/Count))
system.l2cache.blockedCycles::no_mshrs              0                       # number of cycles access was blocked (Cycle)
system.l2cache.blockedCycles::no_targets            0                       # number of cycles access was blocked (Cycle)
system.l2cache.blockedCauses::no_mshrs              0                       # number of times access was blocked (Count)
system.l2cache.blockedCauses::no_targets            0                       # number of times access was blocked (Count)
system.l2cache.avgBlocked::no_mshrs               nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.l2cache.avgBlocked::no_targets             nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.l2cache.writebacks::writebacks            1899                       # number of writebacks (Count)
system.l2cache.writebacks::total                 1899                       # number of writebacks (Count)
system.l2cache.demandMshrHits::cpu.data             1                       # number of demand (read+write) MSHR hits (Count)
system.l2cache.demandMshrHits::total                1                       # number of demand (read+write) MSHR hits (Count)
system.l2cache.overallMshrHits::cpu.data            1                       # number of overall MSHR hits (Count)
system.l2cache.overallMshrHits::total               1                       # number of overall MSHR hits (Count)
system.l2cache.demandMshrMisses::cpu.inst         2206                       # number of demand (read+write) MSHR misses (Count)
system.l2cache.demandMshrMisses::cpu.data         3242                       # number of demand (read+write) MSHR misses (Count)
system.l2cache.demandMshrMisses::total           5448                       # number of demand (read+write) MSHR misses (Count)
system.l2cache.overallMshrMisses::cpu.inst         2206                       # number of overall MSHR misses (Count)
system.l2cache.overallMshrMisses::cpu.data         3242                       # number of overall MSHR misses (Count)
system.l2cache.overallMshrMisses::total          5448                       # number of overall MSHR misses (Count)
system.l2cache.demandMshrMissLatency::cpu.inst    141553000                       # number of demand (read+write) MSHR miss ticks (Tick)
system.l2cache.demandMshrMissLatency::cpu.data    184610000                       # number of demand (read+write) MSHR miss ticks (Tick)
system.l2cache.demandMshrMissLatency::total    326163000                       # number of demand (read+write) MSHR miss ticks (Tick)
system.l2cache.overallMshrMissLatency::cpu.inst    141553000                       # number of overall MSHR miss ticks (Tick)
system.l2cache.overallMshrMissLatency::cpu.data    184610000                       # number of overall MSHR miss ticks (Tick)
system.l2cache.overallMshrMissLatency::total    326163000                       # number of overall MSHR miss ticks (Tick)
system.l2cache.demandMshrMissRate::cpu.inst     0.508295                       # mshr miss ratio for demand accesses (Ratio)
system.l2cache.demandMshrMissRate::cpu.data     0.096273                       # mshr miss ratio for demand accesses (Ratio)
system.l2cache.demandMshrMissRate::total     0.143312                       # mshr miss ratio for demand accesses (Ratio)
system.l2cache.overallMshrMissRate::cpu.inst     0.508295                       # mshr miss ratio for overall accesses (Ratio)
system.l2cache.overallMshrMissRate::cpu.data     0.096273                       # mshr miss ratio for overall accesses (Ratio)
system.l2cache.overallMshrMissRate::total     0.143312                       # mshr miss ratio for overall accesses (Ratio)
system.l2cache.demandAvgMshrMissLatency::cpu.inst 64167.271079                       # average overall mshr miss latency ((Tick/Count))
system.l2cache.demandAvgMshrMissLatency::cpu.data 56943.244911                       # average overall mshr miss latency ((Tick/Count))
system.l2cache.demandAvgMshrMissLatency::total 59868.392070                       # average overall mshr miss latency ((Tick/Count))
system.l2cache.overallAvgMshrMissLatency::cpu.inst 64167.271079                       # average overall mshr miss latency ((Tick/Count))
system.l2cache.overallAvgMshrMissLatency::cpu.data 56943.244911                       # average overall mshr miss latency ((Tick/Count))
system.l2cache.overallAvgMshrMissLatency::total 59868.392070                       # average overall mshr miss latency ((Tick/Count))
system.l2cache.replacements                      4987                       # number of replacements (Count)
system.l2cache.CleanEvict.mshrMisses::writebacks          369                       # number of CleanEvict MSHR misses (Count)
system.l2cache.CleanEvict.mshrMisses::total          369                       # number of CleanEvict MSHR misses (Count)
system.l2cache.CleanEvict.mshrMissRate::writebacks          inf                       # mshr miss rate for CleanEvict accesses (Ratio)
